cruise,longitude,latitude,depth,temp,sal,oxy,phosphate,nitrate,silicate,barium
GA02,320.56131,-35.0086,150,16.2995,35.795502,221.399994,0.219,2.09,0.71,44.01442
GA02,320.56131,-35.0086,199,15.6644,35.688099,219.5,0.313,3.49,1.19,43.211311
GA02,320.56131,-35.0086,251,15.1012,35.629398,216.100006,0.438,5.35,1.75,43.282383
GA02,320.56131,-35.0086,301,14.5403,35.540501,214.300003,0.542,6.77,2.1,46.025734
GA02,320.56131,-35.0086,400,13.2912,35.325699,212.899994,0.71,9.38,2.7,43.712646
GA02,320.56131,-35.0086,501,11.134,34.969299,206,1.063,14.95,4.75,44.941689
GA02,320.56131,-35.0086,751,5.3035,34.252102,245.899994,1.733,25.559999,11.95,60.972015
GA02,320.56131,-35.0086,1001,3.95,34.255001,226.600006,2.025,29.950001,25.32,64.009583
GA02,320.56131,-35.0086,1251,3.1961,34.382,197.699997,2.229,32.759998,44.560001,75.02832
GA02,320.56131,-35.0086,1501,2.9216,34.539799,183.199997,2.234,32.970001,56.470001,74.857819
GA02,320.56131,-35.0086,1749,2.9823,34.695202,190.199997,2.031,29.809999,54.689999,75.41906
GA02,320.56131,-35.0086,2001,3.096,34.811298,210.100006,1.766,26.299999,45.700001,73.124374
GA02,320.56131,-35.0086,2500,3.0481,34.9034,235.600006,1.484,22.18,34.43,68.797867
GA02,320.56131,-35.0086,3000,2.8002,34.913101,243.699997,1.425,21.26,34.669998,70.779961
GA02,320.56131,-35.0086,3501,1.8078,34.804798,223,1.821,26.68,74.330002,85.30822
GA02,320.56131,-35.0086,4000,0.7331,34.6982,211.100006,2.208,32.25,114.900002,105.412865
GA02,320.56131,-35.0086,4500,0.3076,34.674099,218.699997,2.273,32.84,124,109.065926
GA02,320.56131,-35.0086,4787,0.2444,34.669701,220.300003,2.292,33.130001,126.779999,110.736099
GA02,320.56131,-35.0086,4838,0.249,34.669201,219.899994,2.281,33.150002,126.809998,112.349411
GA02,322.5423,-32.0908,10,23.868,35.9673,209.5,0,0,0.43,40.87307
GA02,322.5423,-32.0908,25,23.7286,35.9771,209.199997,0,0,0.43,37.85965
GA02,322.5423,-32.0908,50,21.4688,35.877899,234.800003,0.003,0,0.55,40.267071
GA02,322.5423,-32.0908,76,18.6099,35.932701,241.399994,0.036,0,0.63,38.456646
GA02,322.5423,-32.0908,101,17.4261,35.893398,229.300003,0.089,0,0.74,41.740139
GA02,322.5423,-32.0908,150,16.366199,35.7766,217.199997,0.236,2.37,1,37.511398
GA02,322.5423,-32.0908,201,15.6447,35.668598,217.5,0.337,3.69,1.35,39.712936
GA02,322.5423,-32.0908,250,15.0556,35.597198,216.5,0.432,5.15,1.77,43.431633
GA02,322.5423,-32.0908,302,14.4304,35.515202,213.899994,0.546,7.04,2.26,45.933342
GA02,322.5423,-32.0908,401,13.0826,35.286999,212.100006,0.716,9.93,3.05,43.115887
GA02,322.5423,-32.0908,500,11.2733,34.990501,206.399994,0.991,14.32,4.73,45.059166
GA02,322.5423,-32.0908,752,5.8282,34.3265,231,1.708,25.440001,12.77,53.829357
GA02,322.5423,-32.0908,1001,3.9869,34.290501,219.100006,2.049,30.290001,28.08,64.762634
GA02,322.5423,-32.0908,1249,3.2073,34.414501,194.100006,2.227,32.950001,46.630001,69.877716
GA02,322.5423,-32.0908,1499,2.9443,34.568699,186.100006,2.181,31.93,54.779999,70.609459
GA02,322.5423,-32.0908,1749,2.8962,34.714401,196.300003,1.978,29.469999,53.59,71.007301
GA02,322.5423,-32.0908,1999,3.0326,34.822701,215.399994,1.742,25.709999,44.16,67.497787
GA02,322.5423,-32.0908,2500,3.0112,34.915798,239.600006,1.44,21.49,32.709999,63.348885
GA02,322.5423,-32.0908,2750,2.8806,34.917,243.699997,1.419,21.24,33.07,63.530579
GA02,322.5423,-32.0908,2999,2.6879,34.906101,243.300003,1.429,21.57,37.27,66.380539
GA02,322.5423,-32.0908,3250,2.246,34.856998,234.399994,1.603,23.969999,54.709999,75.284081
GA02,322.5423,-32.0908,3498,1.8301,34.823502,232.600006,1.719,25.51,67.860001,85.677643
